date,ticker,action,quantity,price,total,fees,notes,tags
2024-01-15,AAPL,buy,100,185.50,18550.00,9.95,Strong support level break. Good entry point,"tech,swing"
2024-01-18,AAPL,sell,100,192.30,19230.00,9.95,Resistance at 200MA. Taking profits,"tech,swing"
2024-01-22,MSFT,buy,50,380.25,19012.50,9.95,Cloud growth story intact,"tech,long-term"
2024-01-25,GOOGL,buy,30,140.80,4224.00,9.95,Search dominance + AI potential,"tech,growth"
2024-02-01,TSLA,buy,25,195.40,4885.00,9.95,Oversold after earnings miss,"ev,speculative"
2024-02-05,TSLA,sell,25,210.30,5257.50,9.95,Quick bounce trade successful,"ev,speculative"
2024-02-08,NVDA,buy,15,720.85,10812.75,9.95,AI chip leader - riding the wave,"tech,ai"
2024-02-12,SPY,buy,200,485.20,97040.00,9.95,Market dip buying opportunity,"etf,hedge"
2024-02-15,AMZN,buy,40,155.75,6230.00,9.95,AWS growth + retail recovery,"tech,value"
2024-02-20,META,buy,35,450.30,15760.50,9.95,VR/AR future potential,"tech,speculative"
2024-02-22,NVDA,sell,15,785.60,11784.00,9.95,Taking profits on AI rally,"tech,ai"
2024-02-28,GOOGL,sell,30,152.40,4572.00,9.95,Regulatory concerns emerging,"tech,growth"
2024-03-05,MSFT,sell,25,395.80,9895.00,9.95,Partial profit taking,"tech,long-term"
2024-03-08,JPM,buy,60,175.25,10515.00,9.95,Banking sector rotation play,"finance,value"
2024-03-12,XOM,buy,80,115.40,9232.00,9.95,Oil price stabilization,"energy,commodity"
2024-03-15,COIN,buy,45,220.80,9936.00,9.95,Crypto recovery speculation,"crypto,speculative"
2024-03-18,SPY,sell,100,492.10,49210.00,9.95,Reducing hedge position,"etf,hedge"
2024-03-22,AMZN,sell,40,168.90,6756.00,9.95,Cloud competition concerns,"tech,value"
2024-03-25,COIN,sell,45,195.20,8784.00,9.95,Crypto volatility exit,"crypto,speculative"
2024-03-28,VTI,buy,300,245.60,73680.00,9.95,Long-term portfolio diversification,"etf,long-term"
2024-04-02,MSFT,buy,30,410.50,12315.00,9.95,Adding back on dip,"tech,long-term"
2024-04-05,AAPL,buy,75,175.80,13185.00,9.95,iPhone 16 cycle anticipation,"tech,event"
2024-04-08,META,sell,35,485.20,16982.00,9.95,VR adoption slower than expected,"tech,speculative"
2024-04-12,QQQ,buy,150,445.30,66795.00,9.95,Tech sector consolidation,"etf,tech"
2024-04-15,XOM,sell,80,128.60,10288.00,9.95,Oil price peak concern,"energy,commodity"
2024-04-18,JPM,sell,60,185.40,11124.00,9.95,Interest rate environment shift,"finance,value"
2024-04-22,TSLA,buy,20,168.50,3370.00,9.95,Oversold on delivery concerns,"ev,value"
2024-04-25,NFLX,buy,25,580.40,14510.00,9.95,Subscriber growth acceleration,"streaming,growth"
2024-04-28,AAPL,sell,75,188.20,14115.00,9.95,Pre-earnings profit taking,"tech,event"
2024-05-02,TSLA,sell,20,195.80,3916.00,9.95,Autonomous driving hype,"ev,value"
2024-05-05,NFLX,sell,25,625.80,15645.00,9.95,Competition from Disney+,"streaming,growth"
2024-05-08,NVDA,buy,12,880.20,10562.40,9.95,AI infrastructure demand,"tech,ai"
2024-05-12,AMD,buy,90,165.30,14877.00,9.95,Data center chip competition,"tech,semiconductor"
2024-05-15,QQQ,sell,75,458.90,34417.50,9.95,Tech sector rotation,"etf,tech"
2024-05-18,MSFT,sell,55,425.60,23408.00,9.95,Profit taking on AI rally,"tech,long-term"
2024-05-22,SPY,buy,100,515.80,51580.00,9.95,Market strength continuation,"etf,hedge"
2024-05-25,NVDA,sell,12,945.30,11343.60,9.95,Semiconductor cycle peak,"tech,ai"
2024-05-28,AMD,sell,90,178.90,16101.00,9.95,Competition from Intel,"tech,semiconductor"
2024-06-01,RBLX,buy,120,38.40,4608.00,9.95,Gaming platform recovery,"gaming,speculative"
2024-06-05,UBER,buy,85,72.30,6145.50,9.95,Ride-sharing market expansion,"mobility,growth"
2024-06-08,RBLX,sell,120,42.80,5136.00,9.95,Metaverse hype cooling,"gaming,speculative"
2024-06-12,UBER,sell,85,78.60,6681.00,9.95,Regulatory pressures,"mobility,growth"
2024-06-15,VTI,sell,150,252.40,37860.00,9.95,Portfolio rebalancing,"etf,long-term"
2024-06-18,SHOP,buy,55,68.90,3789.50,9.95,E-commerce recovery play,"ecommerce,growth"
2024-06-22,PYPL,buy,70,61.20,4284.00,9.95,Digital payments undervalued,"fintech,value"
2024-06-25,SHOP,sell,55,75.80,4169.00,9.95,Amazon competition concerns,"ecommerce,growth"
2024-06-28,PYPL,sell,70,58.40,4088.00,9.95,Competition from Apple Pay,"fintech,value"
2024-07-02,SPY,sell,150,522.90,78435.00,9.95,Summer trading range,"etf,hedge"
2024-07-05,VTI,buy,200,255.10,51020.00,9.95,Long-term accumulation,"etf,long-term"
