date,ticker,action,quantity,price,total,fees,notes,tags
2024-01-15,7203,buy,100,1850,185000,500,トヨタ自動車の反発を狙った買い,"automotive,value"
2024-01-18,7203,sell,100,1920,192000,500,目標株価到達で利確,"automotive,value"
2024-01-22,6758,buy,200,2450,490000,500,ソニーの新製品発表前の仕込み,"entertainment,growth"
2024-01-25,9984,buy,50,8200,410000,500,ソフトバンクGの安値圏での拾い,"tech,speculative"
2024-02-01,8306,buy,1000,850,850000,500,三菱UFJの配当利回り狙い,"finance,dividend"
2024-02-05,9984,sell,50,8950,447500,500,アリババ株上昇で利確,"tech,speculative"
2024-02-08,4502,buy,300,4100,1230000,500,武田薬品の底値圏判断,"pharma,value"
2024-02-12,1321,buy,100,48500,4850000,500,日経225ETFでヘッジ,"etf,hedge"
2024-02-15,6501,buy,500,4800,2400000,500,日立製作所のDX関連期待,"tech,transformation"
2024-02-20,7974,buy,100,3450,345000,500,任天堂の新ゲーム機期待,"gaming,speculative"
2024-02-22,6758,sell,200,2680,536000,500,ソニー決算前の利確,"entertainment,growth"
2024-02-28,4502,sell,300,4350,1305000,500,薬価改定懸念で売却,"pharma,value"
2024-03-05,8306,add,500,820,410000,500,三菱UFJ追加購入,"finance,dividend"
2024-03-08,9432,buy,200,2100,420000,500,NTTの5G関連期待,"telecom,infrastructure"
2024-03-12,5401,buy,300,2850,855000,500,新日鉄住金のインフラ需要,"steel,commodity"
2024-03-15,6902,buy,400,1250,500000,500,デンソーの電動化対応,"automotive,transformation"
2024-03-18,1321,sell,50,49800,2490000,500,日経ETF一部利確,"etf,hedge"
2024-03-22,6501,sell,500,5200,2600000,500,日立製作所目標達成,"tech,transformation"
2024-03-25,7974,sell,100,3180,318000,500,任天堂期待外れで損切り,"gaming,speculative"
2024-03-28,1306,buy,200,24500,4900000,500,TOPIX ETFで分散投資,"etf,long-term"
2024-04-02,8058,buy,400,2650,1060000,500,三菱商事の資源高期待,"trading,commodity"
2024-04-05,7203,buy,150,1780,267000,500,トヨタ自動車を再度仕込み,"automotive,value"
2024-04-08,9432,sell,200,2280,456000,500,NTT通信料金値下げ懸念,"telecom,infrastructure"
2024-04-12,1570,buy,100,52000,5200000,500,日経レバレッジETF,"etf,speculative"
2024-04-15,5401,sell,300,3100,930000,500,新日鉄住金利確,"steel,commodity"
2024-04-18,8306,sell,1000,900,900000,500,三菱UFJ配当権利落ち後売却,"finance,dividend"
2024-04-22,6902,sell,400,1380,552000,500,デンソー自動車不振で売却,"automotive,transformation"
2024-04-25,4755,buy,150,12800,1920000,500,楽天グループのフィンテック期待,"fintech,speculative"
2024-04-28,7203,sell,150,1950,292500,500,トヨタ自動車決算前利確,"automotive,value"
2024-05-02,8058,sell,400,2950,1180000,500,三菱商事資源高で利確,"trading,commodity"
2024-05-05,4755,sell,150,11200,1680000,500,楽天グループ業績懸念,"fintech,speculative"
2024-05-08,6981,buy,200,8500,1700000,500,村田製作所5G部品需要,"electronics,growth"
2024-05-12,9983,buy,100,4200,420000,500,ファーストリテイリング回復期待,"retail,consumer"
2024-05-15,1570,sell,50,54500,2725000,500,日経レバレッジETF利確,"etf,speculative"
2024-05-18,1306,sell,100,25200,2520000,500,TOPIX ETF一部利確,"etf,long-term"
2024-05-22,1321,buy,75,51200,3840000,500,日経225ETF買い増し,"etf,hedge"
2024-05-25,6981,sell,200,9200,1840000,500,村田製作所目標達成,"electronics,growth"
2024-05-28,9983,sell,100,4650,465000,500,ファーストリテイリング利確,"retail,consumer"
2024-06-01,3382,buy,300,1850,555000,500,セブン&アイ・ホールディングス,"retail,consumer"
2024-06-05,2914,buy,500,2300,1150000,500,日本たばこ産業の高配当狙い,"tobacco,dividend"
2024-06-08,3382,sell,300,1920,576000,500,セブン&アイ小幅利確,"retail,consumer"
2024-06-12,2914,sell,500,2180,1090000,500,日本たばこ産業ESG懸念,"tobacco,dividend"
2024-06-15,1306,add,100,24800,2480000,500,TOPIX ETF追加購入,"etf,long-term"
2024-06-18,4689,buy,80,3650,292000,500,Z Holdings検索事業回復期待,"internet,growth"
2024-06-22,8411,buy,800,450,360000,500,みずほフィナンシャルグループ,"finance,value"
2024-06-25,4689,sell,80,3480,278400,500,Z Holdings競争激化懸念,"internet,growth"
2024-06-28,8411,sell,800,485,388000,500,みずほFG金利上昇期待外れ,"finance,value"
2024-07-02,1321,sell,100,52500,5250000,500,日経225ETF夏枯れ前売却,"etf,hedge"
2024-07-05,1306,buy,150,25500,3825000,500,TOPIX ETF継続積立,"etf,long-term"
